,finalized_title,standard_title,Available Globally?,Release Date,Hours Viewed,Runtime_minutes,Views,release_year,type,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,description,age_certification,runtime,seasons
0,Bridgerton,bridgerton,Yes,5/16/24,733800000,479.0,91900000,2020,SHOW,"['drama', 'history', 'romance']",['US'],7.3,129085.0,106.118,8.2,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",TV-MA,62,4.0
1,The Gentlemen,the gentlemen,Yes,3/7/24,507300000,401.0,75900000,2019,MOVIE,"['crime', 'action', 'comedy']","['US', 'GB']",7.8,325385.0,67.919,7.687,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",R,113,1
4,Love Is Blind (2020),love is blind,No,2/14/24,299300000,859.0,20900000,2020,SHOW,"['reality', 'romance']",['US'],6.1,7863.0,1.4,7.7,"Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.",TV-MA,54,5.0
7,Cocomelon,cocomelon,No,5/31/20,55400000,178.0,18700000,2018,SHOW,"['animation', 'comedy', 'family']","['US', 'GB']",4.7,570.0,3.372,7.1,"In the town of Cocomelon, baby JJ and his siblings go on fun every-day adventures with nursery, play, exploration, and learning - situations that any preschooler could relate to. Fun, relatable stories set to toe-tapping songs.",TV-PG,6,4.0
8,Masha and the Bear,masha and the bear,No,,56900000,391.97452229299364,17400000,2009,SHOW,"['family', 'action', 'animation', 'comedy']",['RU'],7.5,3169.0,38.171,6.9,"Masha is an energetic three-year-old who can’t seem to keep herself out of trouble. Bear is a warm, fatherly figure that does his best to guide his friend and keep her from harm, often ending up the unintended victim of her misadventures.",TV-Y,7,5.0
9,Dave Chappelle (2017),dave chappelle,No,12/31/23,16500000,57.0,17400000,2017,SHOW,"['comedy', 'documentation']",['US'],8.7,2798.0,4.516,7.6,"Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials.",Unkown,66,1.0
15,Sweet Tooth,sweet tooth,Yes,6/6/24,102800000,378.0,16300000,2021,SHOW,"['drama', 'scifi', 'fantasy', 'action']",['US'],7.8,50215.0,63.287,8.0,"On a perilous adventure across a post-apocalyptic world, a lovable boy who's half-human and half-deer searches for a new beginning with a gruff protector.",TV-14,45,2.0
18,Wrong Side of the Tracks,wrong side of the tracks,Yes,2/23/24,137100000,593.0,13900000,2021,SHOW,"['action', 'crime', 'drama', 'thriller']",['ES'],6.7,1671.0,27.824,5.7,"When his teenage granddaughter falls victim to the drug dealers overtaking his neighborhood, a fed-up war veteran takes matters into his own hands.",TV-MA,71,2.0
19,Jurassic World: Camp Cretaceous,jurassic world,Yes,5/24/24,53800000,236.0,13700000,2020,SHOW,"['action', 'animation', 'scifi', 'family']",['US'],7.5,8022.0,259.059,8.0,Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.,TV-PG,24,5.0
20,Warrior,warrior,No,,109600000,486.0,13500000,2018,SHOW,"['action', 'drama', 'crime']",['DK'],6.7,2010.0,5.717,6.5,A war veteran plagued by guilt over his final mission teams up with his best friend's widow to infiltrate a dangerous Copenhagen biker gang.,TV-MA,42,1.0
21,Gabby's Dollhouse,gabbys dollhouse,Yes,1/5/21,54200000,242.0,13400000,2021,SHOW,"['animation', 'comedy', 'family', 'fantasy']",['US'],7.0,379.0,15.275,9.0,This colorful series leads preschoolers room to room through a fantastical dollhouse of delightful mini-worlds and irresistible kitty characters.,TV-Y,24,4.0
25,One Piece (1999),one piece,Yes,8/31/23,92000000,454.0,12200000,1999,SHOW,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],8.8,117129.0,143.457,8.764,"Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates. Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way. Luffy will do anything to get the One Piece and become King of the Pirates!",TV-14,23,21.0
29,Avatar: The Last Airbender,avatar,No,,98800000,488.0,12100000,2005,SHOW,"['scifi', 'animation', 'action', 'family', 'fantasy']",['US'],9.3,303666.0,56.915,8.7,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",TV-Y7,24,3.0
32,The Crown,the crown,Yes,11/16/23,101300000,525.0,11600000,2016,SHOW,"['drama', 'history', 'european']","['GB', 'US']",8.7,194243.0,75.521,8.2,"The gripping, decades-spanning inside story of Her Majesty Queen Elizabeth II and the Prime Ministers who shaped Britain's post-war destiny. 

The Crown tells the inside story of two of the most famous addresses in the world – Buckingham Palace and 10 Downing Street – and the intrigues, love lives and machinations behind the great events that shaped the second half of the 20th century. Two houses, two courts, one Crown.",TV-MA,56,5.0
33,Formula 1: Drive to Survive,formula 1,Yes,2/23/24,86900000,448.0,11600000,2019,SHOW,"['documentation', 'sport']",['GB'],8.6,38345.0,40.781,8.4,"Drivers, managers and team owners live life in the fast lane -- both on and off the track -- during one cutthroat season of Formula 1 racing.",TV-MA,38,6.0
37,Love on the Spectrum,love on the spectrum,Yes,1/19/24,56400000,309.0,11000000,2019,SHOW,"['reality', 'romance', 'documentation']",['AU'],8.6,5846.0,5.852,7.9,Seven singles take their first steps into the world of dating; this uplifting four-part documentary follows young adults on the autism spectrum as they explore the unpredictable world of love and relationships.,TV-14,42,2.0
40,Stranger Things,stranger things,Yes,7/15/16,72900000,409.0,10700000,2016,SHOW,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],8.7,1101055.0,2226.231,8.635,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",TV-14,61,5.0
42,Peaky Blinders,peaky blinders,No,9/30/14,58300000,339.0,10300000,2013,SHOW,"['crime', 'drama', 'european']",['GB'],8.8,511668.0,1038.077,8.558,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",TV-MA,58,6.0
43,Katt Williams: The Pimp Chronicles Pt. 1 (2006),katt williams,No,5/4/24,10600000,62.0,10300000,2006,MOVIE,"['comedy', 'documentation']",['US'],7.6,1819.0,3.787,6.5,"Comedian Katt Williams (aka Money Mike) showcases his laugh out loud comedic talents in his first ever HBO stand-up comedy DVD taped in front of a live audience. A native of Cincinnati, Ohio, Williams worked his way up the comedy club ladder before landing key television and film roles that displayed his flashy, sassy, streetwise style.",Unkown,46,1
46,Breaking Bad,breaking bad,No,,59400000,348.0,10200000,2008,SHOW,"['drama', 'crime', 'thriller']",['US'],9.5,1775990.0,353.848,8.79,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",TV-MA,48,5.0
47,The Stranger,the stranger,Yes,1/30/20,61600000,367.0,10100000,2020,SHOW,"['thriller', 'crime', 'drama']",['GB'],7.3,48298.0,11.603,7.4,A web of secrets sends family man Adam Price on a desperate quest to uncover the truth about the people closest to him.,TV-MA,45,1.0
49,Heartbreak High,heartbreak high,Yes,4/11/24,68100000,407.0,10000000,1994,SHOW,"['drama', 'romance', 'comedy']",['AU'],7.8,3139.0,7.222,7.3,The ins and outs of the classroom lives of a group of students who attend the fictional Hartley High School in Sydney.,TV-MA,45,7.0
53,Money Heist (2017),money heist,Yes,7/1/17,97000000,391.97452229299364,9400000,2017,SHOW,"['thriller', 'action', 'crime', 'drama', 'european']",['ES'],8.2,461688.0,1.4,7.4,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,TV-MA,49,5.0
57,Jeffrey Epstein: Filthy Rich,jeffrey epstein,Yes,5/27/20,33100000,226.0,8800000,2020,SHOW,"['documentation', 'crime']",['US'],7.1,23816.0,9.369,7.2,Stories from survivors fuel this docuseries examining how convicted sex offender Jeffrey Epstein used his wealth and power to carry out his abuses.,TV-MA,57,1.0
58,Safe,safe,Yes,5/10/18,52000000,360.0,8700000,2018,SHOW,"['drama', 'thriller', 'crime', 'european']",['GB'],7.2,42239.0,9.531,6.9,"After his daughter goes missing, a widower begins uncovering the dark secrets of the people closest to him.",TV-MA,45,1.0
59,Is It Cake?,is it cake,No,3/29/24,50100000,346.0,8700000,2022,SHOW,['reality'],['US'],5.7,2411.0,3.846,7.6,"Skilled cake artists create mouthwatering replicas of handbags, sewing machines and more in a mind-bending baking contest inspired by a popular meme.",TV-PG,39,1.0
60,Business Proposal,business proposal,Yes,2/28/22,104200000,723.0,8600000,2022,SHOW,"['drama', 'romance', 'comedy']",['KR'],8.1,7806.0,183.465,8.3,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,TV-14,61,1.0
61,Outer Banks,outer banks,Yes,4/15/20,72500000,505.0,8600000,2020,SHOW,"['thriller', 'action', 'drama', 'romance', 'crime']",['US'],7.5,45815.0,39.319,8.555,"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.",TV-MA,49,2.0
66,S.W.A.T.: Under Siege,swat,No,,129900000,949.0,8200000,2017,MOVIE,"['action', 'crime', 'thriller']",['US'],4.5,3572.0,28.251,5.8,"When a D.E.A. and S.W.A.T. cartel takedown ends in a shootout, S.W.A.T. Agent Travis Hall seizes a mysterious prisoner taking him into custody. Before long, the S.W.A.T. compound is under siege by wave-after-wave of assault teams attempting to recover the prisoner known as “The Scorpion” for the tattoo blazed across his back. When Travis discovers that his prisoner is a Secret Ops double agent planted within the cartel, it’s up to him and his expert S.W.A.T. team to keep “The Scorpion” and his billion dollar secrets safe.",R,89,1
67,"Good Morning, Verônica",good morning verônica,Yes,2/14/24,23400000,173.0,8100000,2020,SHOW,"['crime', 'drama', 'thriller']",['BR'],7.5,3673.0,13.922,7.4,"While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it.",TV-MA,45,2.0
69,The Creature Cases,the creature cases,Yes,5/22/23,26600000,200.0,8000000,2022,SHOW,"['animation', 'comedy', 'family', 'action']",['US'],8.5,88.0,21.913,7.0,"Follows Sam Snow and Kit Casey, two brilliant agents, as they solve mysteries that mix real zoological facts with wild detective action.",TV-Y,29,1.0
70,Booba (2014),booba,Yes,,24200000,182.0,8000000,2014,SHOW,"['comedy', 'animation', 'family']",['RU'],6.9,392.0,10.547,7.0,"The world is a mystery to little Booba. But he approaches the curiosities around him with wonder, finding adventure in his everyday surroundings.",Unkown,4,4.0
72,Demon Slayer: Kimetsu no Yaiba,demon slayer,No,,25900000,391.97452229299364,7800000,2019,SHOW,"['scifi', 'action', 'animation', 'horror', 'fantasy', 'thriller']",['JP'],8.7,93604.0,94.263,8.809,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",TV-MA,25,3.0
75,Vikings: Valhalla,vikings,No,,52500000,408.0,7700000,2022,SHOW,"['war', 'action', 'drama', 'history', 'romance']",['US'],7.1,34833.0,236.161,7.98,"In this sequel to ""Vikings,"" a hundred years have passed and a new generation of legendary heroes arises to forge its own destiny — and make history.",TV-MA,51,1.0
76,Shaun the Sheep (2007),shaun the sheep,Yes,3/16/20,17300000,135.0,7700000,2007,SHOW,"['animation', 'comedy', 'family', 'european']",['GB'],8.1,28.0,31.375,7.9,"Shaun the Sheep thinks and acts like a person in a barnyard, which usually gets him into trouble. The farmer's sheepdog, Bitzer, tries to keep Shaun and his friends out of trouble. The farmer is oblivious to the humanlike features of his flock, who are like one big, happy family.",TV-G,7,6.0
86,The Walking Dead,the walking dead,No,,36100000,293.0,7400000,2010,SHOW,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],8.2,956604.0,597.277,8.1,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,TV-MA,46,11.0
87,Ginny & Georgia,ginny  georgia,Yes,2/24/21,66900000,548.0,7300000,2021,SHOW,"['drama', 'comedy']",['US'],7.4,46343.0,71.27,8.1,"Angsty and awkward fifteen year old Ginny Miller often feels more mature than her thirty year old mother, the irresistible and dynamic Georgia Miller. After years on the run, Georgia desperately wants to put down roots in picturesque New England and give her family something they've never had... a normal life. But it's not all carpool and Kombucha as Georgia's past threatens her and her family's new way of life... and Georgia will do anything to protect her family.",TV-14,54,1.0
89,AlRawabi School for Girls,alrawabi school for girls,Yes,2/15/24,43000000,354.0,7300000,2021,SHOW,['drama'],['JO'],7.3,5863.0,12.219,7.4,The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.,TV-14,48,2.0
95,Blood & Water,blood  water,Yes,3/1/24,33700000,280.0,7200000,2020,SHOW,['drama'],['ZA'],7.4,92.0,10.301,7.9,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",TV-MA,48,2.0
96,Victorious,victorious,No,,75000000,637.0,7100000,2010,SHOW,"['comedy', 'family', 'drama', 'music', 'romance', 'sport']",['US'],6.9,24838.0,71.494,8.221,Aspiring singer Tori Vega navigates life while attending a performing arts high school called Hollywood Arts.,TV-G,25,4.0
98,Kevin Hart: I'm a Grown Little Man (2009),kevin hart,No,5/11/24,9300000,79.0,7100000,2009,MOVIE,"['comedy', 'documentation']",['US'],7.5,4411.0,6.236,7.3,"Fresh off the heels of appearing in movies like Superhero Movie and The 40 Year-Old Virgin, fast-talking comedian Kevin Hart stars in this live stand-up performance where he makes fun of everything and everybody - especially himself.",R,73,1
103,Lucifer,lucifer,No,7/23/17,65700000,566.0,7000000,2016,SHOW,"['scifi', 'crime', 'drama', 'fantasy']",['US'],8.1,313124.0,922.112,8.523,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",TV-14,47,6.0
105,Turning Point: 9/11 and the War on Terror,turning point,Yes,3/12/24,70500000,617.0,6900000,2021,SHOW,"['war', 'history', 'documentation']",['US'],8.0,9132.0,7.209,7.3,"Modern history can be divided into two time frames: before 9/11 and after 9/11. This five-part docuseries is a cohesive chronicle of the September 11, 2001 attacks on the U.S., offering illuminating perspectives and personal stories of how the catastrophic events of that day changed the course of the nation.",TV-14,62,1.0
110,Lupin,lupin,Yes,10/5/23,36500000,331.0,6600000,2021,SHOW,"['crime', 'drama', 'thriller', 'action', 'comedy']",['FR'],7.5,102888.0,66.66,7.9,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",TV-MA,46,3.0
113,Sam & Cat,sam  cat,No,,86800000,813.0,6400000,2013,SHOW,"['comedy', 'drama', 'family']",['US'],5.6,9744.0,29.349,7.9,"Sam Puckett is loud, independent, and tough as nails, while Cat Valentine is sweet as pie and super flighty. But that doesn't stop this unlikely pair from becoming best buds and roomies!

Together, they're a power duo with a love for fun and adventure -- it's just too bad that it doesn't come cheap. Burgers at their favorite robot restaurant Bots don't grow on trees, after all. A booming out-of-home babysitting business quickly becomes the answer to their empty-pocket problems, but also an extra reason for countless wacky adventures to come!",TV-G,24,1.0
114,All of Us Are Dead,all of us are dead,Yes,1/28/22,78100000,734.0,6400000,2022,SHOW,"['action', 'drama', 'scifi', 'horror', 'thriller', 'fantasy']",['KR'],7.5,45027.0,491.672,8.452,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,TV-MA,61,2.0
117,Morphle,morphle,Yes,,17000000,159.0,6400000,2019,SHOW,"['animation', 'family']","['NL', 'GB']",5.2,83.0,0.832,10.0,"Mila's dad runs the only magic pet store in the city - a fantastical place where you can find all sorts of cute and quirky pets who each have their own unique magic powers, and he has gifted Mila the most magic pet of all, Morphle.",TV-Y,10,5.0
124,Cobra Kai,cobra kai,Yes,8/28/20,32200000,305.0,6300000,2018,SHOW,"['action', 'drama', 'sport', 'comedy']",['US'],8.5,166830.0,331.306,8.167,"This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.",TV-14,31,5.0
126,The Smurfs,the smurfs,No,,61800000,601.0,6200000,2011,MOVIE,"['animation', 'family', 'action', 'comedy', 'fantasy']",['US'],5.4,90097.0,56.324,5.8,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours -- in fact, smack dab in the middle of Central Park. Just three apples high and stuck in the Big Apple, the Smurfs must find a way to get back to their village before Gargamel tracks them down.",PG,103,1
131,The Queen's Gambit,the queens gambit,Yes,10/23/20,39600000,397.0,6000000,2020,SHOW,"['drama', 'sport']",['US'],8.6,420100.0,82.702,8.624,"In a Kentucky orphanage in the 1950s, a young girl discovers an astonishing talent for chess while struggling with addiction.",TV-MA,56,1.0
132,Bodyguard (2011),bodyguard,Yes,10/24/18,36600000,363.0,6000000,2011,MOVIE,"['drama', 'action', 'romance', 'comedy']",['IN'],4.6,25778.0,7.661,5.3,"Lovely Singh is extremely respectful of Mr Rana and his daughter Divya. While appointed as Divya's bodyguard, he falls in love with a girl he has never met, unaware that she is none other than Divya.",Unkown,134,1
134,Young Royals,young royals,Yes,3/11/24,29300000,294.0,6000000,2021,SHOW,"['drama', 'romance']",['SE'],8.3,29025.0,43.342,8.8,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.",TV-MA,45,2.0
135,The Blacklist,the blacklist,No,,92100000,934.0,5900000,2013,SHOW,"['thriller', 'drama', 'crime']",['US'],8.0,242640.0,227.557,7.6,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.",TV-14,43,9.0
137,You,you,Yes,12/26/18,44700000,451.0,5900000,2018,SHOW,"['crime', 'drama', 'thriller', 'romance']",['US'],7.7,230119.0,85.558,8.1,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",TV-MA,47,3.0
139,As the Crow Flies,as the crow flies,Yes,4/11/24,38900000,393.0,5900000,2022,SHOW,"['drama', 'comedy']",['TR'],6.3,3039.0,7.481,7.9,"A young fan maneuvers her way into a seasoned anchor's newsroom but soon confronts the dark side of ambition, envy and the desire to be seen.",TV-MA,46,1.0
142,Mike Epps: Don't Take It Personal (2015),mike epps,No,2/20/24,6000000,61.0,5900000,2015,MOVIE,['comedy'],['US'],4.4,288.0,2.565,5.1,Mike Epps wastes no time bringing his unapologetic and raunchy swagger to a howling live audience at the historic Orpheum Theater in Los Angeles.,Unkown,60,1
146,Crash Landing on You,crash landing on you,Yes,12/14/19,131200000,1348.0,5800000,2019,SHOW,['war'],['KR'],7.4,92.0,59.917,8.8,"A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer, who decides he will help her hide.",Unkown,85,1.0
147,Gilmore Girls (2000),gilmore girls,Yes,,88600000,914.0,5800000,2000,SHOW,"['comedy', 'drama']",['US'],8.2,121462.0,58.578,7.827,"Set in the charming town of Stars Hollow, Connecticut, the series follows the captivating lives of Lorelai and Rory Gilmore, a mother/daughter pair who have a relationship most people only dream of.",TV-14,46,8.0
150,The Witcher (2019),the witcher,Yes,12/20/19,46300000,480.0,5800000,2019,SHOW,"['scifi', 'action', 'horror', 'drama', 'fantasy']",['US'],8.2,472202.0,101.869,8.244,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",TV-MA,58,2.0
155,Never Have I Ever,never have i ever,Yes,4/27/20,26000000,275.0,5700000,2020,SHOW,"['comedy', 'drama']",['US'],7.8,47000.0,47.843,8.183,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",TV-14,28,4.0
156,Worst Roommate Ever,worst roommate ever,Yes,6/26/24,20500000,216.0,5700000,2022,SHOW,"['crime', 'documentation', 'drama', 'thriller']",['US'],8.1,8.0,4.457,6.9,Violent con artists. Stone-cold killers. These terrifying true stories unveil some of the worst cohabitation experiences one could ever imagine.,TV-MA,47,1.0
157,Cry Babies Magic Tears,cry babies magic tears,Yes,,17300000,181.0,5700000,2018,SHOW,"['family', 'animation']",['FR'],5.2,43.0,3.304,7.2,Cute little babies with big personalities explore this imaginative world where tears are magical and carry special powers. The tears are triggered by emotions of love or happiness as the babies overcome challenging situations together.,TV-Y,4,2.0
159,Squid Game,squid game,Yes,9/17/21,46900000,499.0,5600000,2021,SHOW,"['action', 'thriller', 'drama']",['KR'],8.0,426967.0,361.925,7.821,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor.",TV-MA,55,2.0
160,Anne with an E,anne with an e,Yes,5/12/17,33000000,353.0,5600000,2017,SHOW,"['drama', 'family']",['CA'],8.7,52756.0,150.37,8.8,"A coming-of-age story about an outsider who, against all odds and numerous challenges, fights for love and acceptance and for her place in the world. The series centers on a young orphaned girl in the late 1890’s, who, after an abusive childhood spent in orphanages and the homes of strangers, is mistakenly sent to live with an elderly woman and her aging brother. Over time, 13-year-old Anne will transform their lives and eventually the small town in which they live with her unique spirit, fierce intellect and brilliant imagination.",TV-G,46,3.0
161,Sharkdog,sharkdog,Yes,9/3/21,15900000,169.0,5600000,2021,SHOW,"['animation', 'comedy', 'family']","['SG', 'US']",5.8,168.0,36.732,9.3,"10 year old Max and his best friend Sharkdog - half shark, half dog, all appetite. Blissfully unaware of his own strength, stealth and general sharkiness, Sharkdog often leaves a trail of chaos in his wake.",TV-Y,23,2.0
163,Manifest,manifest,No,6/10/21,62900000,686.0,5500000,2018,SHOW,"['drama', 'thriller', 'scifi']",['US'],7.1,53185.0,145.572,7.7,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",TV-14,42,4.0
167,Virgin River,virgin river,Yes,9/7/23,50600000,556.0,5500000,2019,SHOW,"['drama', 'romance']",['US'],7.4,36459.0,169.37,8.034,"After seeing an ad for a midwife, a recently divorced big-city nurse moves to the redwood forests of California, where she meets an intriguing man.",TV-14,44,4.0
170,The Lincoln Lawyer,the lincoln lawyer,Yes,5/13/22,45300000,499.0,5400000,2022,SHOW,"['crime', 'drama', 'thriller']",['US'],7.7,30295.0,68.925,8.1,"Sidelined after an accident, hotshot Los Angeles lawyer Mickey Haller restarts his career — and his trademark Lincoln — when he takes on a murder case.",TV-MA,50,1.0
171,Narcos (2015),narcos,Yes,8/28/15,44700000,499.0,5400000,2015,SHOW,"['drama', 'thriller', 'crime']",['US'],8.8,410463.0,75.495,7.973,A gritty chronicle of the war against Colombia's infamously violent and powerful drug cartels.,TV-MA,52,3.0
173,Stay Close,stay close,Yes,12/31/21,34000000,375.0,5400000,2021,SHOW,"['crime', 'drama', 'thriller']",['GB'],6.9,30197.0,11.449,7.2,"The lives of a photojournalist, a soccer mom and a homicide detective are disturbed by a terrible event from the past.",TV-MA,47,1.0
174,Ricky Gervais: Humanity (2018),ricky gervais,No,12/25/23,5700000,63.0,5400000,2018,MOVIE,['comedy'],['GB'],8.0,19752.0,8.01,7.7,"In his first special in seven years, Ricky Gervais slings his trademark snark at celebrity, mortality and a society that takes everything personally.",R,79,1
180,Emily in Paris,emily in paris,Yes,10/2/20,25500000,289.0,5300000,2020,SHOW,"['drama', 'comedy', 'romance']",['US'],6.9,86631.0,42.991,7.995,"When ambitious Chicago marketing exec Emily unexpectedly lands her dream job in Paris, she embraces a new life as she juggles work, friends and romance.",TV-MA,29,2.0
181,Single’s Inferno,singles inferno,No,12/12/23,73100000,837.0,5200000,2021,SHOW,['reality'],['KR'],7.1,1608.0,4.016,8.3,"On a deserted island, flirtatious singles look for love, because only as a couple can they leave the island for a romantic date in paradise.",TV-PG,61,2.0
182,The 100,the 100,No,,47500000,543.0,5200000,2014,SHOW,"['scifi', 'drama', 'action']",['US'],7.6,245631.0,217.82,7.9,"100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.",TV-14,42,7.0
183,Henry Danger,henry danger,No,,37700000,436.0,5200000,2014,SHOW,"['comedy', 'family', 'action', 'scifi', 'thriller', 'drama']",['US'],5.6,5450.0,103.628,8.3,"When 13-year-old Henry Hart lands a job as Danger, the sidekick-in-training to superhero Captain Man, he must learn to navigate a double life balancing the challenges of 8th grade with the crazy adventures of a real-life crime fighter!",TV-G,24,5.0
189,Maid,maid,Yes,10/1/21,46200000,545.0,5100000,2021,SHOW,"['drama', 'comedy']",['US'],8.4,77885.0,0.6,8.0,"Inspired by the powerful New York Times best-selling memoir Maid: Hard Work, Low Pay, and a Mother's Will to Survive by Stephanie Land, Maid will chronicle a single mother who turns to housekeeping to - barely - make ends meet as she battles against poverty, homelessness, and bureaucracy.",TV-MA,54,1.0
191,The InBESTigators,the inbestigators,Yes,8/9/19,24100000,282.0,5100000,2019,SHOW,"['comedy', 'crime', 'family']",['AU'],8.1,804.0,7.564,8.8,"When Maudie, a ten-year-old puzzle prodigy, forms a detective agency with her classmates Ezra, Ava and Kyle, no crime is left unsolved.",Unkown,19,2.0
192,Blood of Zeus,blood of zeus,Yes,5/10/24,20300000,241.0,5100000,2020,SHOW,"['scifi', 'animation', 'action']",['US'],7.4,92.0,27.566,8.1,"In a brewing war between the gods of Olympus and the titans, Heron, a commoner living on the outskirts of ancient Greece, becomes mankind's best hope of surviving an evil demon army, when he discovers the secrets of his past.",TV-MA,31,1.0
193,Mighty Little Bheem (2019),mighty little bheem,Yes,3/5/20,1600000,19.0,5100000,2019,SHOW,"['animation', 'comedy', 'family', 'fantasy']",['US'],6.4,252.0,8.586,8.4,An innocent toddler’s boundless curiosity -- and extraordinary might -- lead to mischief and adventure in his small Indian town.,TV-Y,6,3.0
198,Chip and Potato (2018),chip and potato,No,10/3/22,12200000,147.0,5000000,2018,SHOW,['animation'],['US'],6.3,158.0,8.971,9.8,"Lovable pug Chip starts kindergarten, makes new friends and tries new things -- with a little help from Potato, her secret mouse pal.",TV-Y,17,3.0
200,Jo Koy: Live from Seattle (2017),jo koy,No,6/4/24,5000000,60.0,5000000,2017,MOVIE,['comedy'],['US'],7.2,1357.0,4.003,6.7,"Between raising a teenage boy and growing up with a Filipino mother, stand-up comic Jo Koy has been through a lot. He's here to tell you all about it.",Unkown,63,1
