,finalized_title,standard_title,Available Globally?,Release Date,Hours Viewed,Runtime_minutes,Views,release_year,type,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,description,age_certification,runtime,seasons
2450,Blood Sisters,blood sisters,Yes,5/5/22,2200000,226.0,600000,2022,SHOW,"['drama', 'crime', 'thriller']","['US', 'NG']",5.0,867.0,6.182,8.7,"Connected by a dangerous secret, best friends Sarah and Kemi are forced to flee after a wealthy groom disappears at his own engagement party.",TV-MA,57,1.0
2455,Pirate Gold of Adak Island,pirate gold of adak island,Yes,6/29/22,2200000,236.0,600000,2022,SHOW,['reality'],['US'],4.6,563.0,20.51,5.7,Will this expert team unearth legendary pirate treasure? Follow the hunt for buried gold amid the harsh Alaskan wilderness in this documentary series.,TV-14,29,1.0
2456,An astrological guide for broken hearts,an astrological guide for broken hearts,Yes,10/27/21,2100000,211.0,600000,2021,SHOW,"['romance', 'comedy']",['IT'],7.1,3034.0,8.058,7.0,"Mid-thirties and still single (certainly not by choice), Alice is working at a small television network in a job with limited upward mobility, despite often being the most competent person in the room. To add insult to injury, her ex-boyfriend Carlo is getting married and about to become a father. And as if that weren't enough, in the small television production company she works for, a new charming and mysterious creative director, Davide, arrives to put everyone to the test. Alice's life begins to change when she meets Tio, an actor on the network's flagship soap opera and self-professed astrological guru, who will soon become her personal ""astrological guide for broken hearts"".",TV-14,34,2.0
2462,Mismatched,mismatched,Yes,11/20/20,2000000,197.0,600000,2020,SHOW,"['comedy', 'drama', 'romance']",['IN'],5.5,3712.0,3.402,6.8,"After a disastrous set-up by their families, two teens strike up a tentative friendship at their summer program - but deeper feelings aren't far behind.",TV-MA,33,1.0
2467,Sea Power,sea power,No,,2000000,191.0,600000,2021,SHOW,"['documentation', 'war']",['US'],7.7,44.0,1.6,7.4,"A look at the war ships through history. The battleships, aircraft carriers, cruisers, destroyers, frigates, corvettes, submarines and amphibious assault ships of modern warfare.",TV-14,48,1.0
2469,Prince of Peoria,prince of peoria,Yes,11/16/18,1900000,207.0,600000,2018,SHOW,"['comedy', 'family']",['US'],5.7,481.0,9.166,7.0,A prankster prince who wants to experience life as an ordinary teen leaves his kingdom to live incognito with a single mom and her studious son.,TV-Y7,26,2.0
2476,Pacific Rim: The Black,pacific rim,Yes,3/4/21,1800000,173.0,600000,2021,SHOW,"['scifi', 'animation', 'action']",['US'],7.0,5175.0,50.254,8.333,"After Kaiju ravage Australia, two siblings pilot a Jaeger to search for their parents, encountering new creatures, seedy characters and chance allies.",TV-14,24,2.0
2481,How to Become a Tyrant,how to become a tyrant,Yes,7/9/21,1700000,168.0,600000,2021,SHOW,"['documentation', 'war', 'history']",['US'],7.4,8484.0,11.324,7.5,The documentary series explores different political figures throughout history.,TV-MA,27,1.0
2482,I Am Not Okay with This,i am not okay with this,Yes,2/26/20,1700000,159.0,600000,2020,SHOW,"['drama', 'fantasy', 'scifi', 'comedy']",['US'],7.5,58674.0,27.985,8.2,"Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her.",TV-MA,21,1.0
2485,Tattoo Redo,tattoo redo,No,7/28/21,1500000,157.0,600000,2021,SHOW,['reality'],['US'],5.9,702.0,3.722,5.6,"Bad tattoos walk in. Great tattoos walk out. Top artists transform tattoo disasters into stunning cover-ups, with designs chosen by clients' loved ones.",TV-MA,28,1.0
